Associated Gene Name	MIM Morbid Accession
ARL11	151400
ITPA	613850
OR2J3	615082
GP1BB	231200
AIRE	109100
AIRE	240300
TBX1	188400
TBX1	192430
TBX1	217095
TNXB	130020
TNXB	606408
SOD1	105400
ALOX5AP	601367
G6PC2	612108
TAS2R38	171200
MAGT1	300716
MAGT1	300853
SLC4A11	217400
SLC4A11	217700
SLC4A11	613268
COX4I2	612714
KAL1	308700
LAMA3	226700
LAMA3	245660
CAPN5	193235
COX7B	300887
RAC2	608203
ATP7A	300489
ATP7A	304150
ATP7A	309400
MOG	614250
ABCB11	601847
ABCB11	605479
ZFP57	601410
BICC1	601331
CDSN	146520
CDSN	270300
RUNX1	601399
FRAS1	219000
GSS	231900
GSS	266130
HMX1	612109
HLA-A	608579
TET2	263300
TET2	614286
SMCHD1	158901
PKD1	173900
MYLK2	192600
SLC45A2	227240
SLC45A2	606574
MICB	180300
GOLGA5	188550
PGK1	300653
UGT2B17	612560
TERT	178500
TERT	187270
TERT	609135
TERT	613989
TERT	614742
ALG9	608776
AIMP1	260600
ADAMTS10	277600
NEUROG3	610370
CFI	610984
CFI	612923
DSP	605676
DSP	607450
DSP	607655
DSP	609638
DSP	612908
AMACR	214950
AMACR	614307
SLC1A3	612656
BLNK	613502
FGF23	193100
FGF23	211900
NEU1	256550
KIAA1279	609460
SLC9A6	300243
KIAA0196	603563
NFKBIL1	180300
GNAS	102200
GNAS	103580
GNAS	114500
GNAS	139320
GNAS	166350
GNAS	174800
GNAS	219080
GNAS	603233
GNAS	612462
MARVELD2	610153
EPB41L1	614257
GUCA1B	613827
B3GALTL	261540
SLC2A9	612076
FBXO7	260300
ANKRD1	106700
HINT1	137200
HSF4	116800
MAK	614181
TWIST1	101400
TWIST1	123100
TWIST1	180750
RXFP2	219050
LTA	607507
LTA	610988
GYS2	240600
MBL2	610424
MBL2	614372
FGB	202400
COL11A2	184840
COL11A2	215150
COL11A2	277610
COL11A2	601868
COL11A2	609706
COL11A2	614524
ABO	110300
DRD5	126453
DRD5	606798
ISPD	614643
ABCA3	610921
COMT	103780
COMT	116790
BMP4	600625
BMP4	607932
VPS33B	208085
RPL26	614900
RNASEH2B	610181
LDHB	614128
MYO6	606346
MYO6	607821
PHOX2B	209880
PHOX2B	613013
TNF	607507
TNF	610424
TNF	611162
RTTN	614833
HERC2	227220
GLCCI1	614400
LPIN2	609628
GATAD2B	615074
APRT	614723
MMP13	602111
CCT5	256840
SPECC1L	600251
SLC25A22	609304
CDKL5	300672
RASSF8	608180
IFNGR1	209950
IFNGR1	600263
IKBKAP	223900
PNP	613179
C12orf65	613559
RPGRIP1L	216360
RPGRIP1L	611560
RPGRIP1L	611561
AMHR2	261550
LRRK2	168600
LRRK2	607060
SLC39A4	201100
ABCB4	600803
ABCB4	602347
ABCB4	614972
PDZD7	605472
KLK1	147910
CDKN3	114550
COQ9	614654
PRSS56	613517
CNGB1	613767
VIPAS39	613404
RPL35A	612528
ARHGAP26	607785
CHRND	253290
